FILE NAME,LABEL,FORMAT,SIZE,URL,phase
COVID-19 (1).png,Covid-19,PNG,1024*1024,https://www.sciencedirect.com/science/article/pii/S0140673620303706,train
COVID-19 (10).png,Covid-19,PNG,1024*1024,https://www.sciencedirect.com/science/article/pii/S0929664620300449,train
COVID-19 (100).png,Covid-19,PNG,1024*1024,https://www.sciencedirect.com/science/article/pii/S0929664620300449,test
COVID-19 (101).png,Covid-19,PNG,1024*1024,https://www.sciencedirect.com/science/article/pii/S0929664620300449,train
COVID-19 (102).png,Covid-19,PNG,1024*1024,https://www.sciencedirect.com/science/article/pii/S0929664620300449,train
COVID-19 (103).png,Covid-19,PNG,1024*1024,https://www.sciencedirect.com/science/article/pii/S1684118220300608,train
COVID-19 (104).png,Covid-19,PNG,1024*1024,https://www.sciencedirect.com/science/article/pii/S1684118220300608,train
COVID-19 (105).png,Covid-19,PNG,1024*1024,https://www.sciencedirect.com/science/article/pii/S1684118220300682,train
COVID-19 (106).png,Covid-19,PNG,1024*1024,https://www.sciencedirect.com/science/article/pii/S1684118220300682,train
COVID-19 (107).png,Covid-19,PNG,1024*1024,https://www.sciencedirect.com/science/article/pii/S1684118220300682,val
COVID-19 (108).png,Covid-19,PNG,1024*1024,https://www.sciencedirect.com/science/article/pii/S1684118220300682,val
COVID-19 (109).png,Covid-19,PNG,1024*1024,https://cases.rsna.org/case/d363ee26-83a6-4517-a363-facea892c075,train
COVID-19 (11).png,Covid-19,PNG,1024*1024,https://onlinelibrary.wiley.com/doi/full/10.1111/all.14238,train
COVID-19 (110).png,Covid-19,PNG,1024*1024,https://onlinelibrary.wiley.com/doi/full/10.1111/all.14238,train
COVID-19 (111).png,Covid-19,PNG,1024*1024,https://onlinelibrary.wiley.com/doi/full/10.1111/all.14238,train
COVID-19 (112).png,Covid-19,PNG,1024*1024,https://onlinelibrary.wiley.com/doi/full/10.1111/all.14238,val
COVID-19 (113).png,Covid-19,PNG,1024*1024,https://onlinelibrary.wiley.com/doi/full/10.1111/all.14238,train
COVID-19 (114).png,Covid-19,PNG,1024*1024,https://www.nejm.org/doi/full/10.1056/NEJMc2001272,train
COVID-19 (115).png,Covid-19,PNG,1024*1024,https://www.nejm.org/doi/full/10.1056/NEJMc2001272,train
COVID-19 (116).png,Covid-19,PNG,1024*1024,https://www.nejm.org/doi/full/10.1056/NEJMc2001272,test
COVID-19 (117).png,Covid-19,PNG,1024*1024,https://www.nejm.org/doi/full/10.1056/NEJMc2001272,val
COVID-19 (118).png,Covid-19,PNG,1024*1024,https://www.nejm.org/doi/full/10.1056/NEJMc2001272,test
COVID-19 (119).png,Covid-19,PNG,1024*1024,https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciaa199/5766408,train
COVID-19 (12).png,Covid-19,PNG,1024*1024,https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciaa199/5766408,test
COVID-19 (120).png,Covid-19,PNG,1024*1024,https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciaa199/5766408,train
COVID-19 (121).png,Covid-19,PNG,1024*1024,https://radiopaedia.org/cases/covid-19-pneumonia-15,train
COVID-19 (122).png,Covid-19,PNG,1024*1024,https://radiopaedia.org/cases/covid-19-pneumonia-15,val
COVID-19 (123).png,Covid-19,PNG,1024*1024,https://radiopaedia.org/cases/covid-19-pneumonia-2,val
COVID-19 (124).png,Covid-19,PNG,1024*1024,https://radiopaedia.org/cases/covid-19-pneumonia-7,train
COVID-19 (125).png,Covid-19,PNG,1024*1024,https://radiopaedia.org/cases/covid-19-pneumonia-7,train
COVID-19 (126).png,Covid-19,PNG,1024*1024,https://radiopaedia.org/cases/covid-19-pneumonia-14,train
COVID-19 (127).png,Covid-19,PNG,1024*1024,https://radiopaedia.org/cases/covid-19-pneumonia-14,test
COVID-19 (128).png,Covid-19,PNG,1024*1024,https://radiopaedia.org/cases/covid-19-pneumonia-12,val
COVID-19 (129).png,Covid-19,PNG,1024*1024,https://radiopaedia.org/cases/covid-19-pneumonia-19,train
COVID-19 (13).png,Covid-19,PNG,1024*1024,https://radiopaedia.org/cases/covid-19-pneumonia-30,train
COVID-19 (130).png,Covid-19,PNG,1024*1024,https://radiopaedia.org/cases/covid-19-pneumonia-30,val
COVID-19 (131).png,Covid-19,PNG,1024*1024,https://app.figure1.com/images/5e73d7ae897e27ff066a30cb,val
COVID-19 (132).png,Covid-19,PNG,1024*1024,https://app.figure1.com/images/5e75d0940b71e1b702629659,train
COVID-19 (133).png,Covid-19,PNG,1024*1024,https://app.figure1.com/images/5e71be566aa8714a04de3386,train
COVID-19 (14).png,Covid-19,PNG,1024*1024,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30111-0/fulltext,train
COVID-19 (15).png,Covid-19,PNG,1024*1024,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30111-0/fulltext,test
COVID-19 (16).png,Covid-19,PNG,1024*1024,https://www.jkms.org/DOIx.php?id=10.3346/jkms.2020.35.e79,val
COVID-19 (17).png,Covid-19,PNG,1024*1024,https://www.jkms.org/DOIx.php?id=10.3346/jkms.2020.35.e79,train
COVID-19 (18).png,Covid-19,PNG,1024*1024,https://www.jkms.org/DOIx.php?id=10.3346/jkms.2020.35.e79,val
COVID-19 (19).png,Covid-19,PNG,1024*1024,https://www.kjronline.org/DOIx.php?id=10.3348/kjr.2020.0132,train
COVID-19 (2).png,Covid-19,PNG,1024*1024,https://www.kjronline.org/DOIx.php?id=10.3348/kjr.2020.0132,test
COVID-19 (20).png,Covid-19,PNG,1024*1024,https://www.kjronline.org/DOIx.php?id=10.3348/kjr.2020.0132,test
COVID-19 (21).png,Covid-19,PNG,1024*1024,https://www.kjronline.org/DOIx.php?id=10.3348/kjr.2020.0132,train
COVID-19 (22).png,Covid-19,PNG,1024*1024,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736%2820%2930211-7/fulltext,train
COVID-19 (23).png,Covid-19,PNG,1024*1024,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736%2820%2930211-7/fulltext,test
COVID-19 (24).png,Covid-19,PNG,1024*1024,https://pubs.rsna.org/doi/10.1148/radiol.2020200269,train
COVID-19 (25).png,Covid-19,PNG,1024*1024,https://pubs.rsna.org/doi/10.1148/radiol.2020200269,test
